ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color
843.0,Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2003,Benzin,450,schwarz,144200,"\"Ab MFK\"",5,Automat sequentiell,Silver
866.0,Mclaren,12C,MP4-12C Coupé 3.8 V8,MP4-12C Coupé 3.8 V8,McLAREN MP4-12C Coupé 3.8 V8,Coupé,3798,Zuzwil,279 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,schwarz,1200,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Silver
877.0,Ferrari,456,456M GT,456M GT,FERRARI 456M GT,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,beige,35000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Silver
979.0,Porsche,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,Coupé,3600,Zuzwil,339 g/km,Occasion,G,13.9 l/100km,2,Allrad,6,2001,Benzin,420,blau,26300,"\"Ab MFK\", \"Tuning\"",4,Automat,Silver
1007.0,Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2004,Benzin,450,schwarz,91600,"\"Ab MFK\"",5,Automat,Silver
1069.0,Mercedes-benz,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1995,Benzin,320,null,96600,"\"Ab MFK\"",0,Automat,Silver
1084.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,beige,101300,"\"Ab MFK\"",5,Automat sequentiell,White
1095.0,Ferrari,458,458 Spider Italia 4.5 V8,458 Spider Italia 4.5 V8,FERRARI 458 Spider Italia 4.5 V8,Cabriolet,4497,Zuzwil,275 g/km,Occasion,G,11.8 l/100km,2,Hinterradantrieb,1,2012,Benzin,566,schwarz,11700,null,2,Automatisiertes Schaltgetriebe,White
129.0,Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Murciélago LP640-4 Cpé,LAMBORGHINI Murciélago LP640-4 Cpé,Coupé,6496,Zuzwil,495 g/km,Occasion,G,21.3 l/100km,2,Allrad,7,2007,Benzin,641,mehrfarbig,38000,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Automatisiertes Schaltgetriebe,Blue
146.0,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1974,Benzin,180,schwarz,7990,"\"Ab MFK\"",4,Schaltgetriebe,Blue
148.0,Lamborghini,GALLARDO,Gallardo LP550-2 Cpé V.B.,Gallardo LP550-2 Cpé V.B.,LAMBORGHINI Gallardo LP550-2 Cpé V.B.,Coupé,5204,Zuzwil,315 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,9,2009,Benzin,551,null,7300,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Blue
208.0,BMW,M3,M3,M3,BMW M3,Cabriolet,3246,Zuzwil,292 g/km,Occasion,G,12.1 l/100km,2,Hinterradantrieb,3,2001,Benzin,343,braun,46000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Purple
232.0,Toyota,MR2,MR2 2.0,MR2 2.0,TOYOTA MR2 2.0,Coupé,1997,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1990,Benzin,156,schwarz,135800,"\"Ab MFK\"",2,Schaltgetriebe manuell,Yellow
333.0,Mercedes-benz,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1993,Benzin,394,grau,75900,"\"Ab MFK\"",2,Automat,Grey
467.0,Porsche,911,911 Carrera 4 Ruf Turbo BTR 2 420 PS,911 Carrera 4 Ruf Turbo BTR 2 420 PS,PORSCHE 911 Carrera 4 Ruf Turbo BTR 2 420 PS,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Allrad,4,1995,Benzin,272,grün,96000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Red
486.0,Mercedes-benz,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,grau,117900,"\"Ab MFK\"",2,Automat,Red
512.0,Mercedes-benz,S 600,S 600,S 600,MERCEDES-BENZ S 600,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1995,Benzin,394,braun,62000,"\"Ab MFK\"",4,Automat,Black
582.0,Mercedes-benz,ML 500,ML 500,ML 500,MERCEDES-BENZ ML 500,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2002,Benzin,292,grau,118000,"\"Ab MFK\"",5,Automat,Black
627.0,Porsche,911,911 Targa,911 Targa,PORSCHE 911 Targa,Cabriolet,3600,Zuzwil,303 g/km,Occasion,null,12.8 l/100km,2,Hinterradantrieb,5,1997,Benzin,285,blau,74000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black
667.0,Mercedes-benz,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,anthrazit,20500,"\"Ab MFK\"",2,Automat,Black
682.0,Mercedes-benz,SL 55 AMG,SL 55 AMG,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,beige,31200,"\"Ab MFK\"",2,Automat,Black
810.0,Jaguar,XK,XKR 5.0 V8 SC,XKR 5.0 V8 SC,JAGUAR XKR 5.0 V8 SC,Cabriolet,5000,Zuzwil,292 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,3,2009,Benzin,510,schwarz,49500,"\"Ab MFK\"",4,Automat sequentiell,Black
876.0,Mercedes-benz,S 65 AMG,S 65 L AMG 650PS,S 65 L AMG 650PS,MERCEDES-BENZ S 65 L AMG 650PS,Limousine,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,8,2004,Benzin,612,beige,61000,"\"Ab MFK\"",5,Automat,Silver
890.0,Fiat,SPIDER,124 Spider CSA Abarth,CSA Abarth,FIAT 124 Spider CSA Abarth,Cabriolet,1755,Zuzwil,null,Occasion,null,null,2,null,7,1974,null,128,schwarz,120000,null,2,Schaltgetriebe,Silver
