carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2011,39000,"",CAYENNE,Cayenne Turbo,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2005,58300,"",M6,M6,"","","",4,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2005,84000,"",CONTINENTAL,Continental GT 6.0,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Jaguar,2007,74000,"",XJ,XJ8 4.2 V8 Sovereign,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,8900,"",SL 320,SL 320,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2006,30600,"",911,911 Carrera 4S Cabrio,"","","",5,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2007,46500,"",911,911 Turbo Cabrio,"","","",9,l_km_consumption
Coupé,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Aston Martin,2005,40800,"",DB9,DB9,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Citroen,2001,83800,"",C5,C5 3.0 V6 Exclusive,"","","",6,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Maserati,1995,39500,"",BITURBO,Biturbo Spyder E,"","","",3,null
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,24400,"",SL 500,SL 500,"","","",6,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Bentley,1995,47500,"",TURBO,null,"","","",1,null
Cabriolet,White,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Alfa Romeo,1970,106000,"",SPIDER,1300 Junior,"","","",3,null
Coupé,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,73400,"",CL 600,CL 600,"","","",1,l_km_consumption
Coupé,Blue,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Mg,1957,37000,"","",Roadster,"","","",1,null
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ford (usa),2015,4300,"",MUSTANG,5.0 GT Premium 50 Years,"","","",4,l_km_consumption
Kombi,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2004,108500,"",530,530d Touring,"","","",11,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1997,41000,"",F355,F355 GTS,"","","",10,l_km_consumption
Cabriolet,Other,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1994,48700,"",SL 600,SL 600,"","","",7,null
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Bentley,2005,145000,"",ARNAGE,Arnage R,"","","",4,l_km_consumption
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1994,206000,"",E 500,E 500 Limited,"","","",6,null
Limousine,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1997,82500,"",323,323i Sport Edition,"","","",7,l_km_consumption
SUV / Geländewagen,Red,Occasion,"",Automat,Zuzwil,"",Porsche,2007,78400,"",CAYENNE,Cayenne S,"","","",9,l_km_consumption
Coupé,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mitsubishi,1983,114800,"",STARION,Starion 2000 Turbo,"","","",4,null
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2007,99800,"",525,525xi,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Saab,2001,134600,"",9-3,9-3 2.0i-16 TS Aero,"","","",9,l_km_consumption
Cabriolet,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2000,228000,"",323,323Ci,"","","",6,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1976,60000,"",Alpine A110,1600 SX,"","","",7,null
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Bentley,2005,142000,"",CONTINENTAL,Continental GT 6.0,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2008,5000,"",F430,Challenge GT3 LOOK,"","","",6,null
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2009,76200,"",CONTINENTAL,Continental GTC 6.0,"","","",6,l_km_consumption
Kombi,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,2002,101900,"",A4,A4 Avant 3.0 V6,"","","",8,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1984,63500,"",911,911 Turbo,"","","",3,null
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2010,28900,"",599,599 GTB HGTE,"","","",4,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Nsu,1972,82804,"","",TT,"","","",4,null
SUV / Geländewagen,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Land Rover,1998,55800,"",DISCOVERY,Discovery 3.9,"","","",7,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Pgo,2008,3000,"","",Cevennes,"","","",5,null
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1986,101400,"",COROLLA,Corolla 1600 GTi TC16,"","","",12,null
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mitsubishi,1999,120800,"",LANCER,EVO V,"","","",1,null
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2011,18000,"",GALLARDO,Gallardo LP570-4 Coupé SL,"","","",3,l_km_consumption
Coupé,Purple,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1970,9999,"","",850 Spider,"","","",8,null
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Jaguar,1998,99800,"",XK,XK8 Convertible,"","","",7,l_km_consumption
Kombi,Grey,Occasion,"",Automat,Zuzwil,"",BMW,1998,85800,"",540,540i Touring,"","","",1,l_km_consumption
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,32900,"",RS6,RS6 Avant quattro,"","","",4,l_km_consumption
Coupé,Grey,Occasion,"",Automat,Zuzwil,"",Ferrari,1997,32500,"",456,456 GTA,"","","",11,l_km_consumption
Coupé,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2015,200,"",CORVETTE,Corvette Z06,"","","",6,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1982,211000,"",323,Alpina Look,"","","",2,null
Limousine,Red,Occasion,"",Automat,Zuzwil,"",VW,2008,84600,"",PHAETON,Phaeton 3.0 TDi V6 4M,"","","",7,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,43800,"",RS6,RS6 Avant quattro,"","","",2,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",VW,2002,50400,"",PHAETON,Phaeton 6.0 W12 4Motion,"","","",10,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chrysler,1996,20000,"",VIPER,Viper RT/10,"","","",4,null
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,16000,"",ML 430,ML 430,"","","",4,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Matra,1979,52000,"","",SIMCA Bagheera Serie II,"","","",2,null
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,59000,"",RS6,RS6 Avant quattro,"","","",1,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",BMW,1995,49900,"",328,328i A Cabrio,"","","",8,l_km_consumption
Coupé,Silver,Oldtimer,"",null,Sursee,"",Ferrari,1970,8000,"",365,Daytona Plexiglas,"","","",9,null
Kleinwagen,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Daihatsu,1985,61800,"",CHARADE,Charade 1.0 Turbo,"","","",9,null
Limousine,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2000,162900,"",C 240,C 240 Elégance,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2006,34500,"",M6,M6,"","","",11,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,42500,"",911,911 GT3,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2010,35500,"",PANAMERA,Panamera 4S 4.8,"","","",5,l_km_consumption
Limousine,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,1999,86300,"",328,328i,"","","",8,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lamborghini,1993,46700,"",DIABLO,Diablo 5.7 VT,"","","",6,null
SUV / Geländewagen,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2005,13700,"",CAYENNE,Cayenne Turbo,"","","",12,l_km_consumption
Coupé,White,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1971,31800,"",Alpine A110,1300 VC Gordini,"","","",3,null
Cabriolet,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mclaren,2013,12000,"",12C,MP4-12C Cabriolet 3.8 V8,"","","",3,l_km_consumption
Limousine,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,2005,99000,"",A 150,A 150 Classic,"","","",10,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,145100,"",C 320,C 320 Elégance,"","","",5,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",BMW,1995,119600,"",750,750i,"","","",7,l_km_consumption
Coupé,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,111000,"",S 600,S 600,"","","",8,null
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1971,53100,"",CELICA,1600 GT,"","","",8,null
Limousine,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",VW,2011,36300,"",GOLF,Golf 2.0 TSI R 4Motion,"","","",3,l_km_consumption
SUV / Geländewagen,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2007,36700,"",CAYENNE,Cayenne Turbo,"","","",3,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2003,38600,"",911,911 Turbo,"","","",4,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,32000,"",SL 55 AMG,SL 55 AMG,"","","",10,l_km_consumption
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,43400,"",RS6,RS6 Avant quattro,"","","",5,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2005,64500,"",CAYENNE,Cayenne Turbo,"","","",10,l_km_consumption
Kombi,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2009,57400,"",C 63 AMG,C 63 AMG Avantgarde,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Mg,1986,2500,"",METRO,6R4 Gruppe B,"","","",2,null
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",VW,2008,108500,"",TOUAREG,Touareg R50 V10,"","","",4,l_km_consumption
Coupé,Black,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2014,100,"",911,911 GT3,"","","",7,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Bentley,2000,42300,"",ARNAGE,Arnage Green Label,"","","",4,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2005,22500,"",575M,575M,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,1997,42000,"",750,750iL,"","","",6,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Lancia,1978,57000,"","",Monte Carlo 137 AS,"","","",7,null
Coupé,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",Jaguar,1956,5300,"","",D-Type XKD525,"","","",7,null
Kombi,White,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,120000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",7,l_km_consumption
Kombi,Blue,Occasion,"",Automat,Zuzwil,"",Audi,2002,81000,"",RS6,RS6 Avant quattro,"","","",10,l_km_consumption
Cabriolet,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mazda,2007,6900,"",MX-5,MX-5 1.8i 16V Confort,"","","",3,l_km_consumption
SUV / Geländewagen,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2012,1000,"",CAYENNE,Cayenne S,"","","",6,l_km_consumption
Limousine,Purple,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,67400,"",E 55 AMG,E 55 AMG Avantgarde,"","","",10,l_km_consumption
Coupé,Gold,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,2010,13000,"",CORVETTE,Corvette ZR1,"","","",2,l_km_consumption
Limousine,Grey,Oldtimer,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1975,104650,"","",1602,"","","",2,null
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Jaguar,1999,89666,"",XK,XKR S/C,"","","",5,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,61300,"",911,911 GT2,"","","",12,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2007,21500,"",QUATTROPORTE,Quattroporte 4.2,"","","",10,l_km_consumption
Pick-up,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Toyota,1981,26900,"",DYNA,Bergungsfahrzeug,"","","",1,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2003,23100,"",575M,575M,"","","",1,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Lotus,2005,16000,"","",HKT Seven GTS,"","","",5,null
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,96400,"",SL 600,SL 600,"","","",3,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2001,75400,"",911,911 Carrera Cabrio,"","","",2,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2010,25300,"",CLS 350,CLS 350 CGI,"","","",1,l_km_consumption
Cabriolet,Silver,Occasion,"",Automatik-Getriebe,Porrentruy,"",Alfa Romeo,2011,23900,"",8C,null,"","","",4,null
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2013,12000,"",F12,F12 Berlinetta,"","","",1,l_km_consumption
Coupé,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2001,30100,"",911,911 Turbo,"","","",10,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,96500,"",S 55 AMG,S 55 AMG,"","","",2,l_km_consumption
Cabriolet,Yellow,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2011,28000,"",911,911 Turbo S Cabrio PDK,"","","",4,l_km_consumption
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,42600,"",RS6,RS6 Avant quattro,"","","",6,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2006,36600,"",CAYENNE,Cayenne Turbo S,"","","",8,l_km_consumption
Cabriolet,Green,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2011,16000,"",911,911 Turbo S Cabrio SPEED ART 580PS,"","","",4,l_km_consumption
Limousine,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,75000,"",E 430,E 430 Avantgarde,"","","",2,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2005,41800,"",COUPÉ GT,Coupé GT,"","","",3,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,45300,"",SL 600,SL 600,"","","",6,l_km_consumption
Cabriolet,Black,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2015,90,"",AVENTADOR,Aventador LP700-4 Rds,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1998,32800,"",F355,F355 Berlinetta,"","","",3,l_km_consumption
Kombi,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Audi,2013,34200,"",RS4,RS4 Avant 4.2 FSI quattro,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2010,680,"",458,458 Italia 4.5 V8,"","","",10,l_km_consumption
Cabriolet,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lotus,2003,38200,"",ELISE,Elise,"","","",10,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,127800,"",911,911 Turbo,"","","",6,l_km_consumption
Cabriolet,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2003,49300,"",SPYDER GT,Spyder GT,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2004,27600,"",745,745i,"","","",12,l_km_consumption
Cabriolet,Silver,Occasion,"",null,Sursee,"",Mercedes-benz,1960,1000,"","",300SL Roadster,"","","",3,null
Cabriolet,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Chevrolet,1961,67000,"",CORVETTE,C1,"","","",1,null
SUV / Geländewagen,White,Vorführmodell,"",Schaltgetriebe manuell,Zuzwil,"",Hummer,2008,150,"",H3,H3 3.7 Adventure,"","","",11,l_km_consumption
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,49800,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",10,l_km_consumption
Cabriolet,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,47000,"",SL 55 AMG,SL 55 AMG,"","","",3,l_km_consumption
Coupé,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2008,37000,"",612,612,"","","",2,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat,Zuzwil,"",Land Rover,1998,42000,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",6,l_km_consumption
Kombi,Green,Occasion,"",Automat,Zuzwil,"",Audi,2008,45300,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",12,l_km_consumption
Kombi,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2000,185900,"",S4,S4 Avant quattro,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Bentley,2011,20000,"",CONTINENTAL,Continental Supersports Conv.,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2004,27650,"",F360,F360 Challenge stradale,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,89200,"",E 240,E 240 Elégance,"","","",4,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Audi,2011,31750,"",RS5,RS5 Coupé 4.2FSI quattro,"","","",1,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2011,1350,"",RS4,RS4 4.2 V8 quattro,"","","",0,l_km_consumption
Limousine,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW-alpina,1985,157000,"",5 SERIES,B7 (E28),"","","",7,null
Kleinwagen,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Citroen,1986,80500,"",2CV,2CV6 Charleston,"","","",7,null
Limousine,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2006,95700,"",RS4,RS4 4.2 V8 quattro,"","","",1,l_km_consumption
Cabriolet,Silver,Occasion,"",null,Zuzwil,"",Datsun,1969,23300,"","",SPORTS 2000,"","","",7,null
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Datsun,1981,50300,"",280,ZX,"","","",3,null
Limousine,White,Occasion,"",Automat,Zuzwil,"",Audi,1997,94700,"",A8,A8 4.2 quattro,"","","",3,l_km_consumption
Coupé,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2003,39000,"",575M,575M,"","","",4,l_km_consumption
SUV / Geländewagen,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,20800,"",ML 500,ML 500,"","","",1,l_km_consumption
Cabriolet,White,Occasion,"",Schaltgetriebe,Zuzwil,"",Agm,2004,1,"","",WLR,"","","",1,null
Coupé,White,Occasion,"",Automatik-Getriebe,Porrentruy,"",Lamborghini,2008,5900,"","",Reventon Coupé,"","","",4,null
Coupé,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,116100,"",CL 500,CL 500,"","","",12,l_km_consumption
Limousine,Yellow,Occasion,"",Automat,Zuzwil,"",Bentley,2006,35000,"",CONTINENTAL,Continental FlyingSpur6.0,"","","",3,l_km_consumption
Limousine,Other,Occasion,"",Automat,Zuzwil,"",Bentley,1990,112500,"",TURBO,Turbo R,"","","",4,null
Kombi,Grey,Occasion,"",Automat,Zuzwil,"",Audi,2008,14000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",6,l_km_consumption
Coupé,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2001,47600,"",911,911 Turbo,"","","",11,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,51000,"",BOXSTER,Boxster S 3.2,"","","",7,l_km_consumption
Limousine,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,1998,94000,"",A6,A6 2.8 Ambiente,"","","",2,l_km_consumption
Cabriolet,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Aston Martin,2006,41000,"",DB9,DB9 Volante,"","","",5,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Jaguar,2001,95100,"",XJ,XJR 4.0 V8 S/C,"","","",1,l_km_consumption
Limousine,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2010,29000,"",E 63 AMG,E 63 AMG,"","","",1,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,43300,"",SL 55 AMG,SL 55 AMG,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2001,65300,"",330,330Ci,"","","",5,l_km_consumption
Kombi,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2006,117400,"",RS4,RS4 Avant 4.2 V8 quattro,"","","",8,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2004,56600,"",QUATTROPORTE,Quattroporte 4.2,"","","",7,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2013,28100,"",G 63 AMG,G 63 AMG,"","","",4,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1995,78000,"",F355,F355 Berlinetta,"","","",5,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2009,52000,"",S 500,S 500,"","","",2,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Nissan,2007,2300,"",Skyline,R34 GTR,"","","",1,null
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,1990,125000,"",QUATTRO,quattro Turbo 20V,"","","",1,null
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,36900,"",RS6,RS6 Avant quattro,"","","",9,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2005,39400,"",911,911 Carrera S,"","","",8,l_km_consumption
Cabriolet,White,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1991,197800,"",SL 500,SL 500,"","","",1,null
Coupé,White,Occasion,"",Schaltgetriebe,Zuzwil,"",Peugeot,1984,58950,"",205,Turbo 16V,"","","",11,null
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,35000,"",E 55 AMG,E 55 AMG Avantgarde,"","","",10,l_km_consumption
Limousine,Yellow,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,2001,103100,"",S6,S6 quattro,"","","",8,l_km_consumption
Limousine,Yellow,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mazda,2001,158000,"",626,626 2.0i-16V HPV,"","","",8,l_km_consumption
SUV / Geländewagen,Green,Occasion,"",Automat,Zuzwil,"",Land Rover,1998,70000,"",RANGE ROVER,Range Rover 4.6 HSE,"","","",10,l_km_consumption
Cabriolet,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Opel,2003,11700,"",SPEEDSTER,Speedster 2.0 16V Turbo,"","","",6,l_km_consumption
Limousine,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2012,20100,"",E 63 AMG,E 63 AMG CGI,"","","",1,l_km_consumption
Limousine,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,132600,"",E 420,E 420 Avantgarde,"","","",5,l_km_consumption
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2009,34500,"",E 63 AMG,E 63 AMG,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Jaguar,2000,107100,"",XK,XKR S/C Convertible,"","","",4,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,77000,"",CLS 55 AMG,CLS 55 AMG,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1974,82600,"",2002,Turbo,"","","",7,null
Coupé,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1988,98600,"",ALPINE,Alpine V6 Turbo,"","","",4,null
Limousine,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,1998,34400,"",728,728i,"","","",11,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,49900,"",SL 600,SL 600,"","","",10,l_km_consumption
Coupé,Blue,Oldtimer,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1978,77300,"",ALPINE,Alpine A310 V6,"","","",6,null
Cabriolet,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2002,30500,"",SLK 230,SLK 230 Kompressor,"","","",8,l_km_consumption
