carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,31200,"",SL 55 AMG,SL 55 AMG,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Jaguar,2009,49500,"",XK,XKR 5.0 V8 SC,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,61000,"",S 65 AMG,S 65 L AMG 650PS,"","","",8,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1974,120000,"",SPIDER,CSA Abarth,"","","",7,null
Limousine,Silver,Occasion,"",Automat,Basel,"",Bentley,2006,15600,"",ARNAGE,Arnage T,"","","",3,l_km_consumption
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2003,94500,"",911,911 Turbo,"","","",3,l_km_consumption
Kombi,White,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2010,15000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",1,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Bentley,1995,39100,"",BROOKLANDS,Brooklands,"","","",3,null
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,112800,"",S 500,S 500,"","","",9,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2012,2000,"",ML 63 AMG,ML 63 AMG 4Matic,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Aston Martin,2003,24600,"",V12 Vanquish,Vanquish V12,"","","",1,l_km_consumption
Limousine,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Alfa Romeo,1981,81900,"",ALFASUD,Alfasud 1.5 ti,"","","",8,null
Cabriolet,Green,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mercedes-benz,2009,84000,"",SL 63 AMG,SL 63 AMG,"","","",1,l_km_consumption
Limousine,Orange,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2006,33600,"",QUATTROPORTE,Quattroporte 4.2 Exec. GT,"","","",3,l_km_consumption
Coupé,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2007,45000,"",F430,F430,"","","",3,l_km_consumption
Kompaktvan / Minivan,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,2006,60500,"",B 200,B 200 T Sailing Edition,"","","",8,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,70700,"",E 50 AMG,E 50 AMG Avantgarde,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1974,134000,"",2002,Turbo,"","","",7,null
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Aston Martin,2007,28800,"",V8 Vantage,V8 Vantage 4.3,"","","",7,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Jeep,1997,61000,"",Grand Cherokee,Grand Cherokee 5.2 Ltd.,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,13900,"",SL 600,SL 600,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Ferrari,1996,52800,"",456,456 GTA,"","","",12,null
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1983,111990,"",ALPINE,Alpine A310 V6,"","","",9,null
Limousine,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2013,4600,"",M5,M5,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Porsche,2000,7000,"",911,GT3 CUP,"","","",5,null
Cabriolet,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Smart,2003,165000,"",FORTWO,Fortwo passion,"","","",7,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,56200,"",S 65 AMG,S 65 AMG L,"","","",6,l_km_consumption
Kombi,Silver,Occasion,"",Automat,Zuzwil,"",Audi,2010,26300,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",3,l_km_consumption
Limousine,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Bentley,2000,85700,"",ARNAGE,Red Label,"","","",10,null
Kombi,White,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2013,10400,"",CLS 500,CLS 500,"","","",5,l_km_consumption
Limousine,White,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,102000,"",S 65 AMG,S 65 AMG L,"","","",3,l_km_consumption
Cabriolet,Yellow,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1971,96000,"",911,Targa,"","","",11,null
Coupé,Gold,Occasion,"",null,Zuzwil,"",Ruf,1990,46000,"","",CTR,"","","",1,null
Kleinwagen,Grey,Oldtimer,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1982,124500,"",R5,R5 1400 Alpine Turbo,"","","",7,null
Kombi,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Land Rover,2011,50400,"",DEFENDER,Defender 90 2.4Td4 SW,"","","",2,l_km_consumption
Limousine,Green,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2005,33600,"",M5,M5,"","","",8,l_km_consumption
Cabriolet,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,1998,67000,"",F355,F355 Spider,"","","",10,l_km_consumption
Coupé,Red,Occasion,"",null,Zuzwil,"",Porsche,2001,21100,"",911,GT3 CS,"","","",1,null
Kombi,Red,Occasion,"",Automat,Zuzwil,"",Audi,2010,38000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",9,l_km_consumption
Kombi,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2001,50000,"",RS4,RS4 Avant quattro,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2000,111600,"",ARNAGE,Arnage Red Label,"","","",2,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,77700,"",SL 600,SL 600,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,49000,"",SL 55 AMG,SL 55 AMG,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2005,21300,"",CLS 500,CLS 500,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,35800,"",CL 63 AMG,CL 63 AMG FAB DESIGN,"","","",8,l_km_consumption
